UBIGEO;DEP;PROV;DIST;CODCP;MNOMCP;CAPITAL;FUENTE_INE;Z;XGD;YGD;PRECIPITAC;VULNERAB
20102;ANCASH;HUARAZ;COCHABAMBA;128944;COCHABAMBA;3;INEI17;2111;-77.85948633;-9.49484503;2.90094;3
20103;ANCASH;HUARAZ;COLCABAMBA;131357;COLCABAMBA;3;INEI17;3142;-77.80881123;-9.59474921;8.21623;3
20104;ANCASH;HUARAZ;HUANCHAY;128076;HUANCHAY;3;INEI17;2580;-77.81854439;-9.72361572;8.73065;2
20101;ANCASH;HUARAZ;HUARAZ;114517;HUARAZ;1;INEI17;3061;-77.52886272;-9.529975349;3.73263;2.5
20105;ANCASH;HUARAZ;INDEPENDENCIA;129688;CENTENARIO;3;INEI17;3038;-77.5314811;-9.51667278;3.66819;1
20106;ANCASH;HUARAZ;JANGAS;123301;JANGAS;3;INEI17;2805;-77.57722532;-9.40055497;3.73941;2.5
20107;ANCASH;HUARAZ;LA LIBERTAD;127680;CAJAMARQUILLA;3;INEI17;3328;-77.74143853;-9.63294592;21.4249;3
20108;ANCASH;HUARAZ;OLLEROS;128663;OLLEROS;3;INEI17;3423;-77.46663438;-9.66698319;0;2.5
20109;ANCASH;HUARAZ;PAMPAS GRANDE;129119;PAMPAS GRANDE;3;INEI17;3674;-77.82651093;-9.65529362;9.80611;2
20110;ANCASH;HUARAZ;PARIACOTO;126558;PARIACOTO;3;INEI17;1254;-77.89036301;-9.559039;0.841558;3.5
20111;ANCASH;HUARAZ;PIRA;111480;PIRA;3;INEI17;3585;-77.70737052;-9.58095994;5.59044;2
20112;ANCASH;HUARAZ;TARICA;122130;TARICA;3;INEI17;2818;-77.57535495;-9.39360714;3.66034;3.5
